id,friendly name,link
21413,Instagram,https://www.asos.com/instagram/cat/?cid=21413
21424,Studio,https://www.asos.com/instagram/cat/?cid=21413
21418,Menswear,https://www.asos.com/instagram/menswear/cat/?cid=21418
21417,Womenswear,https://www.asos.com/instagram/womenswear/cat/?cid=21417
28155,Nawal Gurung,https://www.asos.com/nawal-gurung/cat/?cid=28155
21369,Dennis Glanz,https://www.asos.com/dennis-glanz/cat/?cid=21369
24922,Luce Ugoji,https://www.asos.com/luce-ugoji/cat/?cid=24922
24918,Paloma Elesser,https://www.asos.com/paloma-elesser/cat/?cid=24918
27146,Jana Aasland,https://www.asos.com/jana-aasland/cat/?cid=27146
28158,Thomas Suissa,https://www.asos.com/thomas-suissa/cat/?cid=28158
27147,Elizabeth Smart,https://www.asos.com/elizabeth-smart/cat/?cid=27147
27148,Barbara Malewicz,https://www.asos.com/barbara-malewicz/cat/?cid=27148
26045,Lotte Williams,https://www.asos.com/lotte-williams/cat/?cid=26045
26046,Olive Smith,https://www.asos.com/olive-smith/cat/?cid=26046
25337,Lesley Buckle,https://www.asos.com/lesley-buckle/cat/?cid=25337
24921,Jono Friend,https://www.asos.com/jono-friend/cat/?cid=24921
24919,Hannah Anderson,https://www.asos.com/hannah-anderson/cat/?cid=24919
20687,Astrid Eudeline,https://www.asos.com/astrid-eudeline/cat/?cid=20687
27725,Ebony Boadu,https://www.asos.com/ebony-boadu/cat/?cid=27725
28153,Joshua Brown,https://www.asos.com/joshua-brown/cat/?cid=28153
28156,Ari Fitz,https://www.asos.com/ari-fitz/cat/?cid=28156
27733,Anaelle Pistole,https://www.asos.com/anaelle-postollec/cat/?cid=27733
28154,Kat Atkinson,https://www.asos.com/kat-atkinson/cat/?cid=28154
27732,Lex Caught,https://www.asos.com/lex-caught/cat/?cid=27732
27735,Luca Santangelo,https://www.asos.com/luca-santangelo/cat/?cid=27735
27856,Ruddy Trobrillant,https://www.asos.com/ruddy-trobrillant/cat/?cid=27856
27731,Sophia Tassew,https://www.asos.com/sophia-tassew/cat/?cid=27731
28157,Syana Laniyah,https://www.asos.com/syana-laniyan/cat/?cid=28157
28152,Scarlett Betts,https://www.asos.com/scarlett-betts/cat/?cid=28152
27734,Alice Thompson,https://www.asos.com/alice-thompson/cat/?cid=27734
27729,Trey Campbell,https://www.asos.com/trey-campbell/cat/?cid=27729
27730,Kicki Zhang,https://www.asos.com/kicki-zhang/cat/?cid=27730
27736,Uche Natori,https://www.asos.com/uche-natori/cat/?cid=27736
27728,Joel Palmer,https://www.asos.com/joel-palmer/cat/?cid=27728
28619,CTAs,https://www.asos.com/ctas/cat/?cid=28619
28640,Commercial Edits,https://www.asos.com/ctas/commercial-edits/cat/?cid=28640
28641,Commerical Edit 1,https://www.asos.com/ctas/commercial-edits/commerical-edit-1/cat/?cid=28641
28644,Commercial Edit 2,https://www.asos.com/ctas/commercial-edits/commercial-edit-2/cat/?cid=28644
28645,Commercial Edit 3,https://www.asos.com/ctas/commercial-edits/commercial-edit-3/cat/?cid=28645
28646,commercial-edit-4,https://www.asos.com/ctas/commercial-edits/commercial-edit-4/cat/?cid=28646
28647,Commercial Edit 5,https://www.asos.com/ctas/commercial-edits/commerical-edit-5/cat/?cid=28647
27360,commercial edit 6,https://www.asos.com/ctas/commercial-edits/commercial-edit-6/cat/?cid=27360
27903,Marathon mode: on,https://www.asos.com/ctas/commercial-edits/asos-campaign-1/cat/?cid=27903
26865,asos-campaign-2,https://www.asos.com/ctas/commercial-edits/asos-campaign-2/cat/?cid=26865
27384,ASOS campaign 3,https://www.asos.com/ctas/commercial-edits/asos-campaign-3/cat/?cid=27384
50450,adidas Handball Spezial,https://www.asos.com/ctas/commercial-edits/asos-campaign-4/cat/?cid=50450
50451,DISNEY | ASOS DESIGN,https://www.asos.com/ctas/commercial-edits/asos-campaign-5/cat/?cid=50451
50453,Cold weather activity,https://www.asos.com/ctas/commercial-edits/asos-campaign-6/cat/?cid=50453
50454,ASOS campaign 7,https://www.asos.com/ctas/commercial-edits/asos-campaign-7/cat/?cid=50454
50456,Catwalk Looks,https://www.asos.com/ctas/commercial-edits/asos-campaign-9/cat/?cid=50456
50455,Barbour x ASOS,https://www.asos.com/ctas/commercial-edits/asos-campaign-8/cat/?cid=50455
50457,15%,https://www.asos.com/ctas/commercial-edits/asos-campaign-10/cat/?cid=50457
51131,Nike Winter Edit,https://www.asos.com/ctas/commercial-edits/asos-campaign-11/cat/?cid=51131
51132,asos-campaign-12,https://www.asos.com/ctas/commercial-edits/asos-campaign-12/cat/?cid=51132
51133,Unreal Finds: SS24,https://www.asos.com/ctas/commercial-edits/asos-campaign-13/cat/?cid=51133
51134,Campaign 14,https://www.asos.com/ctas/commercial-edits/asos-campaign-14/cat/?cid=51134
51135,25%,https://www.asos.com/ctas/commercial-edits/asos-campaign-15/cat/?cid=51135
51381,30%,https://www.asos.com/ctas/commercial-edits/asos-campaign-16/cat/?cid=51381
51382,20%,https://www.asos.com/ctas/commercial-edits/asos-campaign-17/cat/?cid=51382
51383,10%,https://www.asos.com/ctas/commercial-edits/asos-campaign-18/cat/?cid=51383
51384,25%,https://www.asos.com/ctas/commercial-edits/asos-campaign-19/cat/?cid=51384
51385,20%,https://www.asos.com/ctas/commercial-edits/asos-campaign-20/cat/?cid=51385
51386,25%,https://www.asos.com/ctas/commercial-edits/asos-campaign-21/cat/?cid=51386
51387,20%,https://www.asos.com/ctas/commercial-edits/asos-campaign-22/cat/?cid=51387
51388,asos-campaign-23,https://www.asos.com/ctas/commercial-edits/asos-campaign-23/cat/?cid=51388
51389,40% off!,https://www.asos.com/ctas/commercial-edits/asos-campaign-24/cat/?cid=51389
51390,Selling fast,https://www.asos.com/ctas/commercial-edits/asos-campaign-25/cat/?cid=51390
26089,Activewear,https://www.asos.com/activewear/cat/?cid=26089
25893,Christmas,https://www.asos.com/christmas/cat/?cid=25893
27356,Halloween,https://www.asos.com/halloween/cat/?cid=27356
28277,Oktoberfest,https://www.asos.com/oktoberfest/cat/?cid=28277
28266,Rainbow edit,https://www.asos.com/pride-outfits/cat/?cid=28266
28067,Skate Clothing,https://www.asos.com/skate-clothing/cat/?cid=28067
26129,Valentine's Day Gifts,https://www.asos.com/valentines-day-gifts/cat/?cid=26129
1000,Women,https://www.asos.com/women/
1340,A To Z Of Brands,https://www.asos.com/women/a-to-z-of-brands/cat/?cid=1340
29948,schuh,https://www.asos.com/women/a-to-z-of-brands/schuh/cat/?cid=29948
28583,Anon,https://www.asos.com/women/a-to-z-of-brands/anon/cat/?cid=28583
28589,Cli Cli by Clio Peppiatt,https://www.asos.com/women/a-to-z-of-brands/clio-peppiatt/cat/?cid=28589
28670,THINX,https://www.asos.com/women/a-to-z-of-brands/thinx/cat/?cid=28670
30250,Aligne,https://www.asos.com/women/a-to-z-of-brands/aligne/cat/?cid=30250
28760,4th & Reckless,https://www.asos.com/women/a-to-z-of-brands/4th-reckless/cat/?cid=28760
29982,GANT,https://www.asos.com/women/a-to-z-of-brands/gant/cat/?cid=29982
29976,Annorlunda,https://www.asos.com/women/a-to-z-of-brands/annorlunda/cat/?cid=29976
29979,Iisla & Bird,https://www.asos.com/women/a-to-z-of-brands/iisla-bird/cat/?cid=29979
28602,PopSockets,https://www.asos.com/women/a-to-z-of-brands/popsockets/cat/?cid=28602
51202,Kylie Cosmetics,https://www.asos.com/women/a-to-z-of-brands/kylie-cosmetics/cat/?cid=51202
21837,Shade,https://www.asos.com/women/a-to-z-of-brands/shade/cat/?cid=21837
29692,Joshua Sanders,https://www.asos.com/women/a-to-z-of-brands/joshua-sanders/cat/?cid=29692
50627,Hanskin,https://www.asos.com/women/a-to-z-of-brands/hanskin/cat/?cid=50627
21722,Every Cloud,https://www.asos.com/women/a-to-z-of-brands/every-cloud/cat/?cid=21722
21725,Tularosa,https://www.asos.com/women/a-to-z-of-brands/tularosa/cat/?cid=21725
21744,Piper,https://www.asos.com/women/a-to-z-of-brands/piper/cat/?cid=21744
21728,Akasa,https://www.asos.com/women/a-to-z-of-brands/akasa/cat/?cid=21728
21750,Child of wild,https://www.asos.com/women/a-to-z-of-brands/child-of-wild/cat/?cid=21750
21747,Minimale Animale,https://www.asos.com/women/a-to-z-of-brands/minimale-animale/cat/?cid=21747
21739,ADPT,https://www.asos.com/women/a-to-z-of-brands/adpt/cat/?cid=21739
21753,Rad + Refined,https://www.asos.com/women/a-to-z-of-brands/rad-refined/cat/?cid=21753
21448,Varley,https://www.asos.com/women/a-to-z-of-brands/varley/cat/?cid=21448
21449,Twin Sister,https://www.asos.com/women/a-to-z-of-brands/twin-sister/cat/?cid=21449
21464,Doiy,https://www.asos.com/women/a-to-z-of-brands/doiy/cat/?cid=21464
25033,Jeffrey Campbell,https://www.asos.com/women/a-to-z-of-brands/jeffrey-campbell/cat/?cid=25033
25102,Bones,https://www.asos.com/women/a-to-z-of-brands/bones/cat/?cid=25102
25044,Von Dutch,https://www.asos.com/women/a-to-z-of-brands/von-dutch/cat/?cid=25044
25122,Pusheen,https://www.asos.com/women/a-to-z-of-brands/pusheen/cat/?cid=25122
25047,Sixtyseven,https://www.asos.com/women/a-to-z-of-brands/sixtyseven/cat/?cid=25047
25035,Crap Eyewear,https://www.asos.com/women/a-to-z-of-brands/crap-eyewear/cat/?cid=25035
25149,Horrockses,https://www.asos.com/women/a-to-z-of-brands/horrockses/cat/?cid=25149
25105,Parallel Lines,https://www.asos.com/women/a-to-z-of-brands/parallel-lines/cat/?cid=25105
25153,Dark Pink,https://www.asos.com/women/a-to-z-of-brands/dark-pink/cat/?cid=25153
25108,Ocean Drive,https://www.asos.com/women/a-to-z-of-brands/ocean-drive/cat/?cid=25108
21465,Talking Tables,https://www.asos.com/women/a-to-z-of-brands/talking-tables/cat/?cid=21465
21474,Frends,https://www.asos.com/women/a-to-z-of-brands/frends/cat/?cid=21474
21475,Cloud Nine,https://www.asos.com/women/a-to-z-of-brands/cloud-nine/cat/?cid=21475
21483,Native Youth,https://www.asos.com/women/a-to-z-of-brands/native-youth/cat/?cid=21483
4650,Dr Martens,https://www.asos.com/women/a-to-z-of-brands/dr-martens/cat/?cid=4650
9733,Drap,https://www.asos.com/women/a-to-z-of-brands/drap/cat/?cid=9733
16176,BamBam,https://www.asos.com/women/a-to-z-of-brands/bambam/cat/?cid=16176
13090,Baku,https://www.asos.com/women/a-to-z-of-brands/baku/cat/?cid=13090
20895,Ban do,https://www.asos.com/women/a-to-z-of-brands/ban-do/cat/?cid=20895
20451,Banana Moon,https://www.asos.com/women/a-to-z-of-brands/banana-moon/cat/?cid=20451
28551,David Beckham,https://www.asos.com/women/a-to-z-of-brands/david-beckham/cat/?cid=28551
28553,Kilian,https://www.asos.com/women/a-to-z-of-brands/kilian/cat/?cid=28553
13540,Band of Gypsies,https://www.asos.com/women/a-to-z-of-brands/band-of-gypsies/cat/?cid=13540
14792,Bandit Brand,https://www.asos.com/women/a-to-z-of-brands/bandit-brand/cat/?cid=14792
28834,Dr. Oracle,https://www.asos.com/women/a-to-z-of-brands/dr-oracle/cat/?cid=28834
21092,Barbie,https://www.asos.com/women/a-to-z-of-brands/barbie/cat/?cid=21092
11698,Barbour,https://www.asos.com/women/a-to-z-of-brands/barbour/cat/?cid=11698
21579,The 2 Bandits,https://www.asos.com/women/a-to-z-of-brands/the-2-bandits/cat/?cid=21579
21588,Sistaglam,https://www.asos.com/women/a-to-z-of-brands/sistaglam/cat/?cid=21588
21601,Marc Tetro,https://www.asos.com/women/a-to-z-of-brands/marc-tetro/cat/?cid=21601
